Unnamed: 0,encode_res,dest_res,ssim,lpips,vmaf,vmaf_neg,size,time,ssim_encoded,lpips_encoded,vmaf_encoded,vmaf_neg_encoded,Source Directory,Source File,w0,w1,w2,w3
6.5,540.0,1080.0,0.4562857405662734,0.49040848097457557,95.47260629545117,95.22611222222322,158.64285714285714,14.735357142857143,0.45888956371173967,0.5286088319208986,94.62893271902365,94.58792361321504,VMAF-NEG_CRF:42_W2:10.0_W1:1.0,srunet_epoch:4_ssim:0.3552_vmaf:93.6325_crf:42.pth_540_1080_TEST_CRF42.csv,0.0,1.0,10.0,0.0
6.5,720.0,1080.0,0.49154760135183023,0.4582578062032778,95.82400608932248,95.54377605491744,253.57142857142858,14.735357142857143,,,,,VMAF-NEG_CRF:42_W2:10.0_W1:1.0,srunet_epoch:4_ssim:0.3552_vmaf:93.6325_crf:42.pth_720_1080_TEST_CRF42.csv,0.0,1.0,10.0,0.0
6.5,720.0,1080.0,0.48191405164278933,0.4566054403124353,95.87357990308551,95.5394634292222,253.57142857142858,14.735357142857143,,,,,VMAF_VMAF-NEG_CRF:42_W0:3.0_W1:1.0_W2:10.0,srunet_epoch:4_ssim:0.3501_vmaf:93.9573_vmaf-neg:93.6593_lpips:0.5057_crf:42.pth_720_1080_TEST_CRF42.csv,3.0,1.0,10.0,0.0
6.5,540.0,1080.0,0.4458479067961649,0.48566660036655457,95.53367385112689,95.2232091480556,158.64285714285714,14.735357142857143,,,,,VMAF_VMAF-NEG_CRF:42_W0:3.0_W1:1.0_W2:10.0,srunet_epoch:4_ssim:0.3501_vmaf:93.9573_vmaf-neg:93.6593_lpips:0.5057_crf:42.pth_540_1080_TEST_CRF42.csv,3.0,1.0,10.0,0.0
6.5,720.0,1080.0,0.47943935802930976,0.469093739974174,95.8611718810588,95.53659857972775,253.57142857142858,14.735357142857143,,,,,VMAF-NEG_CRF:42_W2:20.0_W1:1.0,srunet_epoch:4_ssim:0.3468_vmaf:93.7163_crf:42.pth_720_1080_TEST_CRF42.csv,0.0,1.0,20.0,0.0
6.5,540.0,1080.0,0.44404997447663613,0.4984694843913663,95.53898829857572,95.24647034267278,158.64285714285714,14.735357142857143,0.45888956371173967,0.5286088319208986,94.62893271902365,94.58792361321504,VMAF-NEG_CRF:42_W2:20.0_W1:1.0,srunet_epoch:4_ssim:0.3468_vmaf:93.7163_crf:42.pth_540_1080_TEST_CRF42.csv,0.0,1.0,20.0,0.0
6.5,540.0,1080.0,0.46518859689061526,0.49518306403977375,95.22072688675435,95.06484661425705,158.64285714285714,14.735357142857143,0.45888956371173967,0.5286088316060705,94.62893271902365,94.58792361321504,VMAF-NEG_CRF:42_W2:1.0_W1:1.0,srunet_epoch:4_ssim:0.3615_vmaf:93.2949_crf:42.pth_540_1080_TEST_CRF42.csv,0.0,1.0,1.0,0.0
6.5,720.0,1080.0,0.5011579659517217,0.4544427693472967,95.63906370249235,95.46678086898274,253.57142857142858,14.735357142857143,,,,,VMAF-NEG_CRF:42_W2:1.0_W1:1.0,srunet_epoch:4_ssim:0.3615_vmaf:93.2949_crf:42.pth_720_1080_TEST_CRF42.csv,0.0,1.0,1.0,0.0
6.5,540.0,1080.0,0.4593926019658565,0.47968222370124053,95.39693104565364,95.10777601705512,158.64285714285714,14.735357142857143,0.45888956371173967,0.5286088316740764,94.62893271902365,94.58792361321504,VMAF_CRF:42_W0:2.0_W1:1.0,srunet_epoch:4_ssim:0.3570_vmaf:93.6821_crf:42.pth_540_1080_TEST_CRF42.csv,2.0,1.0,0.0,0.0
6.5,720.0,1080.0,0.4963278488290128,0.4449269399755313,95.778654022733,95.48735088464127,253.57142857142858,14.735357142857143,,,,,VMAF_CRF:42_W0:2.0_W1:1.0,srunet_epoch:4_ssim:0.3570_vmaf:93.6821_crf:42.pth_720_1080_TEST_CRF42.csv,2.0,1.0,0.0,0.0
6.5,720.0,1080.0,0.4882031757206791,0.46728992513979994,96.0470917216562,95.42655203619879,253.57142857142858,14.735357142857143,,,,,VMAF_VMAF-NEG_CRF:42_W0:3.0_W1:1.0_W2:1.0,srunet_epoch:4_ssim:0.3504_vmaf:94.0652_vmaf-neg:93.4304_crf:42.pth_720_1080_TEST_CRF42.csv,3.0,1.0,1.0,0.0
6.5,540.0,1080.0,0.45189856907900144,0.4968530564567601,95.88305610682228,95.071205273412,158.64285714285714,14.735357142857143,,,,,VMAF_VMAF-NEG_CRF:42_W0:3.0_W1:1.0_W2:1.0,srunet_epoch:4_ssim:0.3504_vmaf:94.0652_vmaf-neg:93.4304_crf:42.pth_540_1080_TEST_CRF42.csv,3.0,1.0,1.0,0.0
6.5,540.0,1080.0,0.38079989283799803,0.6052370275600243,97.91968588418922,94.56448496676767,158.64285714285714,14.735357142857143,0.45888956371173967,0.5286088316060705,94.62893271902365,94.58792361321504,VMAF_CRF:42_W0:10.0_W1:1.0,srunet_epoch:4_ssim:0.2925_vmaf:95.4232_crf:42.pth_540_1080_TEST_CRF42.csv,10.0,1.0,0.0,0.0
6.5,720.0,1080.0,0.4064797787545173,0.5818534078482326,97.0500956790778,94.80208403714718,253.57142857142858,14.735357142857143,,,,,VMAF_CRF:42_W0:10.0_W1:1.0,srunet_epoch:4_ssim:0.2925_vmaf:95.4232_crf:42.pth_720_1080_TEST_CRF42.csv,10.0,1.0,0.0,0.0
6.5,540.0,1080.0,0.4528825293871735,0.456893215462538,95.11029831457417,94.98483732763283,158.64285714285714,14.735357142857143,0.45888956371173967,0.5286088316740764,94.62893271902365,94.58792361321504,LPSIS_CRF:42_W3:1.0_W1:1.0,srunet_epoch4_ssim0.3500_lpips0.4985_crf42_540_1080_TEST_CRF42.csv,0.0,1.0,0.0,1.0
6.5,720.0,1080.0,0.49126593587140993,0.4206964419842632,95.55324738814002,95.4128534605736,253.57142857142858,14.735357142857143,,,,,LPSIS_CRF:42_W3:1.0_W1:1.0,srunet_epoch4_ssim0.3500_lpips0.4985_crf42_720_1080_TEST_CRF42.csv,0.0,1.0,0.0,1.0
6.5,540.0,1080.0,0.4666184250643151,0.5072936912696449,95.31189925710672,95.07472375811354,158.64285714285714,14.735357142857143,0.45888956371173967,0.5286088318725366,94.62893271902365,94.58792361321504,VMAF_CRF:42_W0:1.0_W1:1.0,srunet_epoch:4_ssim:0.3624_vmaf:93.5791_crf:42.pth_540_1080_TEST_CRF42.csv,1.0,1.0,0.0,0.0
6.5,720.0,1080.0,0.5024108277696916,0.4657842965687538,95.71688782562633,95.46069778014144,253.57142857142858,14.735357142857143,,,,,VMAF_CRF:42_W0:1.0_W1:1.0,srunet_epoch:4_ssim:0.3624_vmaf:93.5791_crf:42.pth_720_1080_TEST_CRF42.csv,1.0,1.0,0.0,0.0
6.5,720.0,1080.0,0.48994253581144387,0.40929501195352547,95.68542392638447,95.46584300871164,253.57142857142858,14.735357142857143,,,,,VMAF_LPIPS_CRF:42_W0:1.0_W1:1.0_W3:1.0,srunet_epoch:4_ssim:0.3517_vmaf:93.5391_lpips:0.4918_crf:42.pth_720_1080_TEST_CRF42.csv,1.0,1.0,0.0,1.0
6.5,540.0,1080.0,0.45129709819576547,0.44553727220933786,95.26474024074771,95.0633746279087,158.64285714285714,14.735357142857143,,,,,VMAF_LPIPS_CRF:42_W0:1.0_W1:1.0_W3:1.0,srunet_epoch:4_ssim:0.3517_vmaf:93.5391_lpips:0.4918_crf:42.pth_540_1080_TEST_CRF42.csv,1.0,1.0,0.0,1.0
6.5,720.0,1080.0,0.4883746801518631,0.4306389677104426,95.7769788898501,95.51164722393831,253.57142857142858,14.735357142857143,,,,,VMAF_VMAF-NEG_CRF:42_W0:1.0_W1:1.0_W2:1.0,srunet_epoch:4_ssim:0.3525_vmaf:93.6927_vmaf-neg:93.4585_crf:42.pth_720_1080_TEST_CRF42.csv,1.0,1.0,1.0,0.0
6.5,540.0,1080.0,0.4509402554620397,0.4628336777946548,95.38944830967041,95.14141821620865,158.64285714285714,14.735357142857143,,,,,VMAF_VMAF-NEG_CRF:42_W0:1.0_W1:1.0_W2:1.0,srunet_epoch:4_ssim:0.3525_vmaf:93.6927_vmaf-neg:93.4585_crf:42.pth_540_1080_TEST_CRF42.csv,1.0,1.0,1.0,0.0
