models, ssim, lpips, vmaf, vmaf-neg
LPSIS, 0.7356, 0.2289, 96.92, 96.80
VMAF, W0:1.0, 0.7361, 0.2303, 97.05, 96.79
VMAF W0:3.0 ∗ 0.7290 0.2374 97.27 96.68
VMAF W0:5.0 ∗ 0.7191 0.2857 97.86 96.47
VMAF W0:10.0 ∗ 0.6210 0.5057 99.54 95.86
VMAF-NEG W2:1.0 0.7347 0.2206 96.99 96.83
VMAF-NEG W2:2.0 0.7295 0.2210 96.98 96.82
VMAF-NEG W2:10.0 0.7361 0.2332 97.03 96.85
VMAF&VMAF-NEG W0:1.0 W2:1.0 0.7326 0.2288 97.03 96.81
VMAF&VMAF-NEG W0:1.0 W2:10.0 0.7290 0.2315 97.04 96.85
