resolution,crf,avg_bitrate
540,22,4088.714285714286
540,30,1271.642857142857
540,37,396.42857142857144
540,42,158.64285714285714
720,22,6559.071428571428
720,30,2004.2857142857142
720,37,631.8571428571429
720,42,253.57142857142858
1080,22,14225.714285714286
1080,25,8570.642857142857
1080,30,3875.714285714286
1080,33,2389.9285714285716
1080,37,1217.642857142857
1080,40,710.3571428571429
1080,42,494.2142857142857
1080,45,298.57142857142856
